,Goal,Target,Indicator,SeriesCode,Units,Nature,UpperBound,LowerBound,SeriesDescription,Source (can differ),FootNote (can differ)
107,4,4.4,4.4.1,SE_ADT_ACTS,PERCENT,C,,,"Proportion of youth and adults with information and communications technology (ICT) skills, by sex and type of skill (%)",National Assessment (NA): Estadística sobre el equipamiento y el uso de las Tecnologías de la Información y Comunicación en los hogares,
108,4,4.5,4.5.1,SE_PRE_GPIPARTN,Ratio,C,,,"Gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)",UIS,
109,4,4.5,4.5.1,SE_GPI_FUNPROF,Ratio,C,,,Gender parity index achieving at least a fixed level of proficiency in functional literacy skills (ratio),Programme for the International Assessment of Adult Competencies (PIAAC),
110,4,4.5,4.5.1,SE_GPI_MATACH,Ratio,C,,,"Gender parity index for achievement in mathematics, by education level (ratio)",National Learning Assessment (NLA): Monitoring Trends in Educational Growth (MTEG) assessment; Grade 3; Minimum proficiency level: 6,
111,4,4.5,4.5.1,SE_GPI_REAACH,Ratio,C,,,"Gender parity index for achievement in reading, by education level (ratio)",National Learning Assessment (NLA): Monitoring Trends in Educational Growth (MTEG) assessment; Grade 3; Minimum proficiency level: 7,
112,4,4.5,4.5.1,SE_GPI_TRATEA,Ratio,C,,,"Gender parity index of trained teachers, by education level (ratio)",UIS,
113,4,4.5,4.5.1,SE_SEP_FUNPROF,Ratio,C,,,Low to high socio-economic parity status index achieving at least a fixed level of proficiency in functional numeracy skills  (ratio),Programme for the International Assessment of Adult Competencies (PIAAC),
114,4,4.5,4.5.1,SE_SEP_MATACH,Ratio,C,,,"Low to high socio-economic parity status index for achievement in mathematics, by education level (ratio)",PISA 2009,
115,4,4.5,4.5.1,SE_SEP_REAACH,Ratio,C,,,"Low to high socio-economic parity status index for achievement in reading, by education level (ratio)",PISA 2009,
116,4,4.5,4.5.1,SE_URP_MATACH,Ratio,C,,,"Rural to urban parity index for achievement in mathematics, by education level (ratio)",National Learning Assessment (NLA): Monitoring Trends in Educational Growth (MTEG) assessment; Grade 3; Minimum proficiency level: 6,
117,4,4.5,4.5.1,SE_URP_REAACH,Ratio,C,,,"Rural to urban parity index for achievement in reading, by education level (ratio)",National Learning Assessment (NLA): Monitoring Trends in Educational Growth (MTEG) assessment; Grade 3; Minimum proficiency level: 7,
118,4,4.5,4.5.1,SE_GPI_PART,Ratio,C,,,Gender parity index for participation rate in formal and non-formal education and training (ratio),Adult Education Survey (AES),
119,4,4.5,4.5.1,SE_GPI_ICTS,Ratio,C,,,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)",Community survey on ICT usage in households and by individuals (Eurostat),
120,4,4.5,4.5.1,SE_NAP_ACHIRE,Ratio,C,,,"Native parity index for achievement in reading, by education level (ratio)",PISA 2009,
121,4,4.5,4.5.1,SE_NAP_ACHIMA,Ratio,C,,,"Native parity index for achievement in mathematics, by education level (ratio)",PISA 2009,
122,4,4.5,4.5.1,SE_LGP_ACHIRE,Ratio,C,,,"Language test parity index for achievement in reading, by education level (ratio)",PISA 2009,
123,4,4.5,4.5.1,SE_LGP_ACHIMA,Ratio,C,,,"Language test parity index for achievement in mathematics, by education level (ratio)",PISA 2009,
124,4,4.5,4.5.1,SE_IMP_FPOF,Ratio,C,,,"Immigration status parity index for achieving at least a fixed level of proficiency in functional skills, by numeracy/literacy skills (ratio)",Programme for the International Assessment of Adult Competencies (PIAAC),
125,4,4.6,4.6.1,SE_ADT_FUNS,PERCENT,C,,,"Proportion of population achieving at least a fixed level of proficiency in functional skills, by sex, age and type of skill (%)",Programme for the International Assessment of Adult Competencies (PIAAC),
126,4,4.a,4.a.1,SE_ACC_COMP,PERCENT,C,,,"Schools with access to computers for pedagogical purposes, by education level (%)",UIS,
127,4,4.a,4.a.1,SE_ACC_DWAT,PERCENT,C,,,"Schools with access to basic drinking water, by education level (%)",UIS,
128,4,4.a,4.a.1,SE_ACC_ELEC,PERCENT,C,,,"Schools with access to electricity, by education level (%)",UIS,
129,4,4.a,4.a.1,SE_ACC_HNWA,PERCENT,C,,,"Schools with basic handwashing facilities, by education level (%)",UIS,
130,4,4.a,4.a.1,SE_ACC_INTN,PERCENT,C,,,"Schools with access to the internet for pedagogical purposes, by education level (%)",UIS,
131,4,4.a,4.a.1,SE_ACC_SANI,PERCENT,C,,,"Schools with access to access to single-sex basic sanitation, by education level (%)",UIS,
132,4,4.a,4.a.1,SE_INF_DSBL,PERCENT,C,,,"Proportion of schools with access to adapted infrastructure and materials for students with disabilities, by education level (%)",UIS,
133,4,4.b,4.b.1,DC_TOF_SCHIPSL,CON_USD,C,,,"Total official flows for scholarships, by recipient countries (millions of constant 2017 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,"Gross disbursements | Based on OECD, CRS databased, 2019 | Constant 2017 USD million"
134,4,4.c,4.c.1,SE_TRA_GRDL,PERCENT,C,,,"Proportion of teachers who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country, by sex and education level (%)",UIS,
135,5,5.1,5.1.1,SG_LGL_GENEQLFP,PERCENT,G,,,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 1: overarching legal frameworks and public life",UN Women,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women’s Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.  "
136,5,5.1,5.1.1,SG_LGL_GENEQVAW,PERCENT,G,,,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) --  Area 2: violence against women",UN Women,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women’s Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.  "
137,5,5.1,5.1.1,SG_LGL_GENEQEMP,PERCENT,G,,,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 3: employment and economic benefits",UN Women,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women’s Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.  "
138,5,5.1,5.1.1,SG_LGL_GENEQMAR,PERCENT,G,,,"Legal frameworks that promote, enforce and monitor gender equality (percentage of achievement, 0 - 100) -- Area 4: marriage and family",UN Women,"Data are derived from an assessment of country's legal frameworks completed by National Statistical Offices and/or National Women’s Machinery, and legal practitioners/researchers on gender equality, using a questionnaire.  "
139,5,5.2,5.2.1,VC_VAW_MARR,PERCENT,C,,,"Proportion of ever-partnered women and girls subjected to physical and/or sexual violence by a current or former intimate partner in the previous 12 months, by age (%)",DHS,
140,5,5.3,5.3.1,SP_DYN_MRBF18,PER_MARW_20T24Y,C,,,Proportion of women aged 20-24 years who were married or in a union before age 18 (%),DHS 2015,
141,5,5.3,5.3.2,SH_STA_FGMS,PERCENT,C,,,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age (%)",DHS,
142,5,5.3,5.3.1,SP_DYN_MRBF15,PER_MARW_20T24Y,C,,,Proportion of women aged 20-24 years who were married or in a union before age 15 (%),DHS 2015,
143,5,5.4,5.4.1,SL_DOM_TSPDCW,PERCENT,CA,,,"Proportion of time spent on unpaid care work, by sex, age and location (%)",Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,
144,5,5.4,5.4.1,SL_DOM_TSPDDC,PERCENT,CA,,,"Proportion of time spent on unpaid domestic chores, by sex, age and location (%)",Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,"Unpaid domestic work includes ""Other unpaid work"" and ""Travel related to unpaid work"". Unpaid domestic work might include small amount of time spent on production of goods for own final use."
145,5,5.4,5.4.1,SL_DOM_TSPD,PERCENT,CA,,,"Proportion of time spent on unpaid domestic chores and care work, by sex, age and location (%)",Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.,"Unpaid domestic work includes ""Other unpaid work"" and ""Travel related to unpaid work"". Unpaid domestic work might include small amount of time spent on production of goods for own final use."
146,5,5.5,5.5.2,IC_GEN_MGTL,PERCENT,C,,,Proportion of women in managerial positions (%),ILOSTAT - LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised
147,5,5.5,5.5.2,IC_GEN_MGTN,PERCENT,C,,,Proportion of women in senior and middle management positions (%),ILOSTAT - LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing;Break in series: Methodology revised
148,5,5.5,5.5.1,SG_GEN_PARLN,NUMBER,C,,,Number of seats held by women in national parliaments (number),"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Annual data as of 1 Feb of given year.
149,5,5.5,5.5.1,SG_GEN_PARLNT,NUMBER,C,,,Number of seats in national parliaments (number),"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Annual data as of 1 Feb of given year.
150,5,5.5,5.5.1,SG_GEN_PARL,PERCENT,C,,,Proportion of seats held by women in national parliaments (% of total number of seats),"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Annual data as of 1 Feb of given year.
151,5,5.5,5.5.1,SG_GEN_LOCGELS,PERCENT,C,,,Proportion of elected seats held by women in deliberative bodies of local government (%),Compiled by UNECE Statistical Division and UN Women,Administrative data based on most recent election results at municipal level (2015) and post-election replacements.
152,5,5.6,5.6.1,SH_FPL_INFM,PERCENT,C,,,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)","DHS 2008-2009. UNFPA Global Database, 2019.",Based on women aged 15-49 years married or in union who are currently using any contraceptives.
153,5,5.6,5.6.1,SH_FPL_INFMSR,PERCENT,C,,,Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),"DHS 2008-2009. UNFPA Global Database, 2019.",Based on women aged 15-49 years married or in union who are currently using any contraceptives.
154,5,5.6,5.6.1,SH_FPL_INFMCU,PERCENT,C,,,Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years),"DHS 2008-2009. UNFPA Global Database, 2019.",Based on women aged 15-49 years married or in union who are currently using any contraceptives.
155,5,5.6,5.6.1,SH_FPL_INFMRH,PERCENT,C,,,Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years),"DHS 2008-2009. UNFPA Global Database, 2019.",Based on women aged 15-49 years married or in union who are currently using any contraceptives.
156,5,5.b,5.b.1,IT_MOB_OWN,PERCENT,C,,,"Proportion of individuals who own a mobile telephone, by sex (%)",ITU World Telecommunication/ICT Indicators database.,
157,5,5.c,5.c.1,SG_GEN_EQPWN,PERCENT,G,,,Proportion of countries with systems to track and make public allocations for gender equality and women's empowerment (%),"Data are derived from country reporting on 13 binary questions on questionnaire, collected through the Global Partneship for Effective Development Cooperation","The numerical value 1 represents ""Approaches requirement"", 0 for ""Does not meet requirement"" and 2 for ""Fully meets requirement""."
158,6,6.1,6.1.1,SH_H2O_SAFE,PERCENT,E,,,"Proportion of population using safely managed drinking water services, by urban/rural (%)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",
159,6,6.2,6.2.1,SH_SAN_HNDWSH,PERCENT,E,,,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",
160,6,6.2,6.2.1,SH_SAN_SAFE,PERCENT,E,,,"Proportion of population using safely managed sanitation services, by urban/rural (%)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",
161,6,6.2,6.2.1,SH_SAN_DEFECT,PERCENT,E,,,"Proportion of population practicing open defecation, by urban/rural (%)","WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (2019)",
162,6,6.3,6.3.2,EN_H2O_OPAMBQ,PERCENT,C,,,Proportion of open water bodies with good ambient water quality (%),Environment Live,
163,6,6.3,6.3.2,EN_H2O_RVAMBQ,PERCENT,C,,,Proportion of river water bodies with good ambient water quality (%),Environment Live,
164,6,6.3,6.3.2,EN_H2O_GRAMBQ,PERCENT,C,,,Proportion of groundwater bodies with good ambient water quality (%),Environment Live,
165,6,6.3,6.3.2,EN_H2O_WBAMBQ,PERCENT,C,,,Proportion of bodies of water with good ambient water quality (%),Environment Live,
166,6,6.3,6.3.1,EN_WWT_WWDS,PERCENT,E,,,Proportion of safely treated domestic wastewater flows (%),WHO 2018,
167,6,6.4,6.4.2,ER_H2O_STRESS,PERCENT,,,,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources (%),Food and Agriculture Organisation of United Nations (FAO),
168,6,6.4,6.4.1,ER_H2O_WUEYST,USD/m3,,,,Water Use Efficiency (United States dollars per cubic meter),Food and Agriculture Organisation of United Nations (FAO),
169,6,6.5,6.5.2,EG_TBA_H2CO,PERCENT,,,,Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%),Source: Relevant country authority; ,No data provided for transboundary aquifers
170,6,6.5,6.5.2,EG_TBA_H2COAQ,PERCENT,,,,Proportion of transboundary aquifers with an operational arrangement for water cooperation (%),Source: Relevant country authority; ,No data provided for transboundary aquifers
171,6,6.5,6.5.2,EG_TBA_H2CORL,PERCENT,C,,,Proportion of transboundary river and lake basins with an operational arrangement for water cooperation (%),Source: Relevant country authority; ,
172,6,6.5,6.5.1,ER_H2O_IWRMD,PERCENT,C,,,Degree of integrated water resources management implementation (%),"Environment Live, UNEP",
173,6,6.6,6.6.1,EN_WBE_PMPR,PERCENT,E,,,Water body extent (permanent) (% of total land area),Global Surface Water Explorer extraction for UN Environment,
174,6,6.6,6.6.1,EN_WBE_PMNR,KMSQ,E,,,Water body extent (permanent) (square kilometres),Global Surface Water Explorer extraction for UN Environment,
175,6,6.6,6.6.1,EN_WBE_PMPP,PERCENT,E,,,Water body extent (permanent and maybe permanent) (% of total land area),Global Surface Water Explorer extraction for UN Environment,
176,6,6.6,6.6.1,EN_WBE_PMPN,KMSQ,E,,,Water body extent (permanent and maybe permanent) (square kilometres),Global Surface Water Explorer extraction for UN Environment,
177,6,6.6,6.6.1,EN_WBE_NDETOT,KMSQ,C,,,Nationally derived total extent (square kilometres),Environment Live,
178,6,6.6,6.6.1,EN_WBE_NDOPW,KMSQ,C,,,Nationally derived extent of open water bodies (square kilometres),Environment Live,
179,6,6.6,6.6.1,EN_WBE_NDQLGRW,PERCENT,C,,,Nationally derived quality of groundwater (%),Environment Live,
180,6,6.6,6.6.1,EN_WBE_NDQLOPW,PERCENT,C,,,Nationally derived quality of open water bodies(%),Environment Live,
181,6,6.6,6.6.1,EN_WBE_NDQLRVR,PERCENT,C,,,Nationally derived quality of river(%),Environment Live,
182,6,6.6,6.6.1,EN_WBE_NDQLTOT,PERCENT,C,,,Nationally derived proportion of water bodies with good quality (%),Environment Live,
183,6,6.6,6.6.1,EN_WBE_NDQTGRW,M_M3_PER_YR,C,,,Nationally derived quantity of groundwater (millions of cubic metres per annum),Environment Live,
184,6,6.6,6.6.1,EN_WBE_NDQTOPW,M_M3_PER_YR,C,,,Nationally derived quantity of open water bodies (million of cubic metres per annum),Environment Live,
185,6,6.6,6.6.1,EN_WBE_NDQTRVR,M_M3_PER_YR,C,,,Nationally derived quantity of rivers (million of cubic metres per annum),Environment Live,
186,6,6.6,6.6.1,EN_WBE_NDQTTOT,M_M3_PER_YR,C,,,Nationally derived total quantity (millions of cubic metres per annum),Environment Live,
187,6,6.6,6.6.1,EN_WBE_NDRV,KMSQ,C,,,Nationally derived extend of rivers (square kilometres),Environment Live,
188,6,6.6,6.6.1,EN_WBE_NDWTL,KMSQ,C,,,Nationally derived extent of wetlands (square kilometres),Environment Live,
189,6,6.a,6.a.1,DC_TOF_WASHL,CON_USD,C,,,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2017 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,"Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million"
190,6,6.b,6.b.1,ER_H2O_RURP,NUMBER,C,,,"Countries with users/communities participating in planning programs in rural drinking-water supply, by level of participation (3 = High; 2 = Moderate; 1 = Low; 0 = NA)","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",Observation values: 3 = High level of participation; 2 = Moderate level of participation; 1 = Low level of participation; 0 = Not applicable.
191,6,6.b,6.b.1,ER_H2O_PRDU,NUMBER,C,,,"Countries with procedures in law or policy for participation by service users/communities in planning program in rural drinking-water supply, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",Observation values: 10 = Clearly defined procedures; 5 = Not clearly defined  procedures; 0 = Not applicable.
192,6,6.b,6.b.1,ER_WAT_PART,NUMBER,C,,,"Countries with users/communities participating in planning programs in water resources planning and management, by level of participation (3 = High; 2 = Moderate; 1 = Low; 0 = NA)","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",Observation value: 3 = High level of participation; 2 = Moderate level of participation; 1 = Low level of participation; 0 = Not applicable.
193,6,6.b,6.b.1,ER_WAT_PRDU,NUMBER,C,,,"Countries with procedures in law or policy for participation by service users/communities in planning program in water resources planning and management, by level of definition in procedures (10 = Clearly defined; 5 = Not clearly defined ; 0 = NA)","Key indicators of the UN-Water Global Analysis and Assessment of Sanitation and Drinking-Water (GLAAS). For the specific sources by country, refer to http://www.who.int/water_sanitation_health/monitoring/investments/glaas/en/.",Observation values: 10 = Clearly defined procedures; 5 = Not clearly defined  procedures; 0 = Not applicable.
194,7,7.1,7.1.2,EG_EGY_CLEAN,PERCENT,E,,,Proportion of population with primary reliance on clean fuels and technology (%),"Global Health Observatory (GHO), World Health Organisation (WHO).",
195,7,7.1,7.1.1,EG_ELC_ACCS,PERCENT,N,,,"Proportion of population with access to electricity, by urban/rural (%)",World Bank,
196,7,7.2,7.2.1,EG_FEC_RNEW,PERCENT,E,,,Renewable energy share in the total final energy consumption (%),"Energy Balances, UN Statistics Division (2018)",
197,7,7.3,7.3.1,EG_EGY_PRIM,MJ_PER_GDP_CON_PPP_USD,E,,,Energy intensity level of primary energy (megajoules per constant 2011 purchasing power parity GDP),"Energy Balances, UN Statistics Division (2018)",
198,7,7.a,7.a.1,EG_IFF_RANDN,CON_USD_M,G,,,"International financial flows to developing countries in support of clean energy research and development and renewable energy production, including in hybrid systems (millions of constant 2016 United States dollars)","DAC Statistics database, 2019, The Organisation for Economic Co-operation and Development (OECD) and IRENA Public Finance Database, 2019, The international Renewable Energy Agency (IRENA)","Commitments by recipient country, in million USD at 2016 prices and exchange rates (using donor country deflators)"
199,8,8.1,8.1.1,NY_GDP_PCAP,PERCENT,CA,,,Annual growth rate of real GDP per capita (%),"United Nations, Department of Economic and Social Affairs, Statistics Division (AMA)",
200,8,8.10,8.10.1,FB_ATM_TOTL,NUMBER,C,,,"Number of automated teller machines (ATMs) per 100,000 adults","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS",
201,8,8.10,8.10.2,FB_BNK_ACCSS,PERCENT,G,,,"Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider, by sex (% of adults aged 15 years and older)","Global Financial Inclusion Database, World Bank.",Gender-matched sampling was used during the final stage of selection.
202,8,8.10,8.10.1,FB_CBK_BRCH,NUMBER,C,,,"Number of commercial bank branches per 100,000 adults","Financial Access Survey (FAS), IMF's Statistics Department, accessible at http://imf.data.org/FAS",
203,8,8.2,8.2.1,SL_EMP_PCAP,PERCENT,M,,,Annual growth rate of real GDP per employed person (%),"ILO estimates, November 2018, available in ILOSTAT (www.ilo.org/ilostat). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.","Based on GDP per person engaged, constant 2010 US dollar"
204,8,8.3,8.3.1,SL_ISV_IFRM,PERCENT,C,,,"Proportion of informal employment in non-agriculture employment, by sex (ILO harmonized estimates) (%)",ILOSTAT - LFS - Labour Force Survey,Repository: ILO-STATISTICS - Micro data processing
205,8,8.4,8.4.2,EN_MAT_DOMCMPT,TONNES,E,,,"Domestic material consumption, by type of raw material (tonnes)",Environment Live / Global Material Flows Database,
206,8,8.4,8.4.2,EN_MAT_DOMCMPG,KG_PER_CON_USD,E,,,"Domestic material consumption per unit of GDP, by type of raw material (kilograms per constant 2010 United States dollars)",Environment Live / Global Material Flows Database,
207,8,8.4,8.4.2,EN_MAT_DOMCMPC,TONNES,E,,,"Domestic material consumption per capita, by type of raw material (tonnes)",Environment Live / Global Material Flows Database,
208,8,8.5,8.5.2,SL_TLF_UEM,PERCENT,C,,,"Unemployment rate, by sex and age (%)",ILOSTAT - LFS - Labour Force Survey,Break in series: Methodology revised | Repository: ILO-STATISTICS - Micro data processing
209,8,8.5,8.5.1,SL_EMP_AEARN,CUR_LCU,C,,,Average hourly earnings of managers (ISCO-08) (local currency),ILOSTAT - LFS - Annual Survey of Urban Households,Local currency: ARG - Argentine peso(ARS) | Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
210,8,8.5,8.5.2,SL_TLF_UEMDIS,PERCENT,C,,,"Unemployment rate, by sex and disability (%)",ILOSTAT - HS - European Health and Social Integration Survey,Unemployment definition: Self-declared labour status | Repository: ILO calculations based on Eurostat data | Population coverage: Excluding institutional population | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None;
211,8,8.6,8.6.1,SL_TLF_NEET,PERCENT,C,,,"Proportion of youth not in education, employment or training, by sex and age (%)",ILOSTAT - LFS - Labour Force Survey,Break in series: Methodology revised | Repository: ILO-STATISTICS - Micro data processing
212,8,8.7,8.7.1,SL_TLF_CHLDEC,PERCENT,CA,,,"Proportion of children engaged in economic activity and household chores, by sex and age (%)",UNICEF and ILO calculations,
213,8,8.7,8.7.1,SL_TLF_CHLDEA,PERCENT,CA,,,"Proportion of children engaged in economic activity, by sex and age  (%)",UNICEF and ILO calculations,
214,8,8.8,8.8.1,SL_EMP_FTLINJUR,PER_100000_EMP,C,,,"Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",ILOSTAT - ADM-IR - Insurance records,"Coverage of occupational injuries: Compensated injuries | Per 100,000 persons insured"
215,8,8.8,8.8.1,SL_EMP_INJUR,PER_100000_EMP,C,,,"Non-fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees)",ILOSTAT - ADM-IR - Insurance records,Coverage of occupational injuries: Compensated injuries | Reference group coverage: Insured persons
216,8,8.a,8.a.1,DC_TOF_TRDCMDL,CON_USD,C,,,"Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2017 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,"Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million | 2002-05 avg."
217,8,8.a,8.a.1,DC_TOF_TRDDBMDL,CON_USD,C,,,"Total official flows (disbursement) for Aid for Trade, by donor countries (millions of constant 2017 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,"Gross disbursements | Based on OECD, CRS databased, 2019 | Constant 2017 USD million"
218,8,8.a,8.a.1,DC_TOF_TRDDBML,CON_USD,C,,,"Total official flows (disbursement) for Aid for Trade, by recipient countries (millions of constant 2017 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,"Gross disbursements | Based on OECD, CRS databased, 2019 | Constant 2017 USD million"
219,8,8.a,8.a.1,DC_TOF_TRDCML,CON_USD,C,,,"Total official flows (commitments) for Aid for Trade, by recipient countries (millions of constant 2017 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,"Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million | 2002-05 avg."
220,9,9.1,9.1.2,IS_RDP_FRGVOL,T_KM,C,,,"Freight volume, by mode of transport (tonne kilometres)",the International Transport Forum at the OECD (ITF-OECD),
221,9,9.1,9.1.2,IS_RDP_PFVOL,P_KM,C,,,"Passenger volume (passenger kilometres), by mode of transport",the International Transport Forum at the OECD (ITF-OECD),
222,9,9.2,9.2.1,NV_IND_MANFPC,CON_10USD,M,,,Manufacturing value added per capita (constant 2010 United States dollars),UNIDO MVA 2019 Database. Available at https://stat.unido.org,
223,9,9.2,9.2.2,SL_TLF_MANF,PERCENT,C,,,Manufacturing employment as a proportion of total employment (%),ILOSTAT - HIES - Living Condition Survey,Repository: ILO-STATISTICS - Micro data processing
224,9,9.2,9.2.1,NV_IND_MANF,PERCENT,M,,,Manufacturing value added as a proportion of GDP (%),UNIDO MVA 2019 Database. Available at https://stat.unido.org,
225,9,9.3,9.3.1,NV_IND_SSIS,PERCENT,C,,,Proportion of small-scale industries in total industry value added (%),"Structural Survey of Economic Enterprises, INSTAT",Value added in basic prices
226,9,9.3,9.3.2,FC_ACC_SSID,PERCENT,G,,,Proportion of small-scale industries with a loan or line of credit (%),World Bank Enterprise Surveys 2018,
227,9,9.4,9.4.1,EN_ATM_CO2,TONNES_M,E,,,Carbon dioxide emissions from fuel combustion (millions of tonnes),"IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",
228,9,9.4,9.4.1,EN_ATM_CO2MVA,KG_PER_CON_USD,E,,,Carbon dioxide emissions per unit of manufacturing value added (kilogrammes of CO2 per constant 2010 United States dollars),"UNIDO MVA 2019 Database. Available at https://stat.unido.org. IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",
229,9,9.4,9.4.1,EN_ATM_CO2GDP,KG_PER_CON_USD,E,,,Carbon dioxide emissions per unit of GDP (kilogrammes of CO2 per constant 2010 United States dollars),"IEA (2018), CO2 Emissions from Fuel Combustion. https://www.iea.org/statistics",
230,9,9.5,9.5.2,GB_POP_SCIERD,PER_1000000_POP,C,,,"Researchers (in full-time equivalent) per million inhabitants (per 1,000,000 population)",UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics, Partial data
231,9,9.5,9.5.1,GB_XPD_RSDV,PERCENT,C,,,Research and development expenditure as a proportion of GDP (%),UNESCO Institute for Statistics (UIS) Survey on Research and Experimental Development Statistics, Partial data
232,9,9.a,9.a.1,DC_TOF_INFRAL,CON_USD,C,,,"Total official flows for infrastructure, by recipient countries (millions of constant 2017 United States dollars)",The Organisation for Economic Co-operation and Development (OECD).,"Commitments | Based on OECD, CRS databased, 2019 | Constant 2017 USD million"
233,9,9.b,9.b.1,NV_IND_TECH,PERCENT,M,,,Proportion of medium and high-tech industry value added in total value added (%),UNIDO CIP 2018 Database. Available at https://stat.unido.org.,
234,9,9.c,9.c.1,IT_MOB_NTWK,PERCENT,,,,"Proportion of population covered by a mobile network, by technology (%)",Ministry of Communications & Information Technology,
235,10,10.1,10.1.1,SI_HEI_TOTL,PERCENT,G,,,Growth rates of household expenditure or income per capita (%),World Bank,Estimated from individual income data. Growth rates are for the period of 2012-2017.
236,10,10.1,10.1.1,SI_HEI_BTN40,PERCENT,G,,,Growth rates of household expenditure or income per capita among the bottom 40 per cent of the population (%),World Bank,Estimated from individual income data. Growth rates are for the period of 2012-2017.
237,10,10.4,10.4.1,SL_EMP_GTOTL,PERCENT,C,,,"Labour share of GDP, comprising wages and social protection transfers (%)",ILOSTAT - SNA - National Accounts,Measure of output: Gross value added (GVA) | Type of prices: Basic prices | System of national accounts: 2008 SNA
238,10,10.5,10.5.1,FI_FSI_FSANL,PERCENT,C,,,Non-performing loans to total gross loans (%),http://data.imf.org/FSI,Indicator for the whole deposit-taking sector
